Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PATCH,/constructor-be/anket/5010249,1,0,453.799708004226,453.799708004226,453.799708004226,453.799708004226,2440.0,0.0006663087926396316,0.0,450,450,450,450,450,450,450,450,450,450,450
PATCH,/constructor-be/anket/5010250,1,0,444.66508299228735,444.66508299228735,444.66508299228735,444.66508299228735,2415.0,0.0006663087926396316,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/constructor-be/anket/5010260,1,0,515.7971250009723,515.7971250009723,515.7971250009723,515.7971250009723,2482.0,0.0006663087926396316,0.0,520,520,520,520,520,520,520,520,520,520,520
PATCH,/constructor-be/anket/5010263,1,0,472.5690420018509,472.5690420018509,472.5690420018509,472.5690420018509,2291.0,0.0006663087926396316,0.0,470,470,470,470,470,470,470,470,470,470,470
PATCH,/constructor-be/anket/5010265,1,0,419.31279200071003,419.31279200071003,419.31279200071003,419.31279200071003,2360.0,0.0006663087926396316,0.0,420,420,420,420,420,420,420,420,420,420,420
PATCH,/constructor-be/anket/5010267,1,0,516.0133750032401,516.0133750032401,516.0133750032401,516.0133750032401,2423.0,0.0006663087926396316,0.0,520,520,520,520,520,520,520,520,520,520,520
PATCH,/constructor-be/anket/5010274,1,0,251.4723330095876,251.4723330095876,251.4723330095876,251.4723330095876,2396.0,0.0006663087926396316,0.0,250,250,250,250,250,250,250,250,250,250,250
PATCH,/constructor-be/anket/5010276,1,0,430.8536250027828,430.8536250027828,430.8536250027828,430.8536250027828,2474.0,0.0006663087926396316,0.0,430,430,430,430,430,430,430,430,430,430,430
PATCH,/constructor-be/anket/5010277,1,0,283.63570899819024,283.63570899819024,283.63570899819024,283.63570899819024,2524.0,0.0006663087926396316,0.0,280,280,280,280,280,280,280,280,280,280,280
PATCH,/constructor-be/anket/5010288,1,0,502.94254200707655,502.94254200707655,502.94254200707655,502.94254200707655,2363.0,0.0006663087926396316,0.0,500,500,500,500,500,500,500,500,500,500,500
PATCH,/constructor-be/anket/5010291,1,0,453.241541996249,453.241541996249,453.241541996249,453.241541996249,2390.0,0.0006663087926396316,0.0,450,450,450,450,450,450,450,450,450,450,450
PATCH,/constructor-be/anket/5010292,1,0,411.8664169945987,411.8664169945987,411.8664169945987,411.8664169945987,2611.0,0.0006663087926396316,0.0,410,410,410,410,410,410,410,410,410,410,410
PATCH,/constructor-be/anket/5010296,1,0,347.9064170096535,347.9064170096535,347.9064170096535,347.9064170096535,2514.0,0.0006663087926396316,0.0,350,350,350,350,350,350,350,350,350,350,350
PATCH,/constructor-be/anket/5010302,1,0,672.7493749931455,672.7493749931455,672.7493749931455,672.7493749931455,2333.0,0.0006663087926396316,0.0,670,670,670,670,670,670,670,670,670,670,670
PATCH,/constructor-be/anket/5010315,1,0,529.87320900138,529.87320900138,529.87320900138,529.87320900138,2470.0,0.0006663087926396316,0.0,530,530,530,530,530,530,530,530,530,530,530
PATCH,/constructor-be/anket/5010317,1,0,330.4864579986315,330.4864579986315,330.4864579986315,330.4864579986315,2462.0,0.0006663087926396316,0.0,330,330,330,330,330,330,330,330,330,330,330
PATCH,/constructor-be/anket/5010319,1,0,326.2010000034934,326.2010000034934,326.2010000034934,326.2010000034934,2436.0,0.0006663087926396316,0.0,330,330,330,330,330,330,330,330,330,330,330
PATCH,/constructor-be/anket/5010320,1,0,252.57408300240058,252.57408300240058,252.57408300240058,252.57408300240058,2457.0,0.0006663087926396316,0.0,250,250,250,250,250,250,250,250,250,250,250
PATCH,/constructor-be/anket/5010325,1,0,401.09625000332016,401.09625000332016,401.09625000332016,401.09625000332016,2483.0,0.0006663087926396316,0.0,400,400,400,400,400,400,400,400,400,400,400
PATCH,/constructor-be/anket/5010328,1,0,265.4742919985438,265.4742919985438,265.4742919985438,265.4742919985438,2384.0,0.0006663087926396316,0.0,270,270,270,270,270,270,270,270,270,270,270
PATCH,/constructor-be/anket/5010335,1,0,284.83150000101887,284.83150000101887,284.83150000101887,284.83150000101887,2394.0,0.0006663087926396316,0.0,280,280,280,280,280,280,280,280,280,280,280
PATCH,/constructor-be/anket/5010340,1,0,98.714709005435,98.714709005435,98.714709005435,98.714709005435,2331.0,0.0006663087926396316,0.0,99,99,99,99,99,99,99,99,99,99,99
PATCH,/constructor-be/anket/5010341,1,0,249.1094170109136,249.1094170109136,249.1094170109136,249.1094170109136,2485.0,0.0006663087926396316,0.0,250,250,250,250,250,250,250,250,250,250,250
PATCH,/constructor-be/anket/5010342,1,0,240.0429170083953,240.0429170083953,240.0429170083953,240.0429170083953,2525.0,0.0006663087926396316,0.0,240,240,240,240,240,240,240,240,240,240,240
PATCH,/constructor-be/anket/5010343,1,0,235.48324999865144,235.48324999865144,235.48324999865144,235.48324999865144,2483.0,0.0006663087926396316,0.0,240,240,240,240,240,240,240,240,240,240,240
PATCH,/constructor-be/anket/5010352,1,0,134.0736249985639,134.0736249985639,134.0736249985639,134.0736249985639,2539.0,0.0006663087926396316,0.0,130,130,130,130,130,130,130,130,130,130,130
PATCH,/constructor-be/anket/5010356,1,0,195.31150000693742,195.31150000693742,195.31150000693742,195.31150000693742,2469.0,0.0006663087926396316,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/constructor-be/anket/5010359,1,0,140.56720900407527,140.56720900407527,140.56720900407527,140.56720900407527,2458.0,0.0006663087926396316,0.0,140,140,140,140,140,140,140,140,140,140,140
PATCH,/constructor-be/anket/5010361,1,0,107.28958300023805,107.28958300023805,107.28958300023805,107.28958300023805,2537.0,0.0006663087926396316,0.0,110,110,110,110,110,110,110,110,110,110,110
PATCH,/constructor-be/anket/5010364,1,0,169.5471660059411,169.5471660059411,169.5471660059411,169.5471660059411,2317.0,0.0006663087926396316,0.0,170,170,170,170,170,170,170,170,170,170,170
PATCH,/constructor-be/anket/5010365,1,0,133.759291988099,133.759291988099,133.759291988099,133.759291988099,2282.0,0.0006663087926396316,0.0,130,130,130,130,130,130,130,130,130,130,130
PATCH,/constructor-be/anket/5010374,1,0,148.6247499997262,148.6247499997262,148.6247499997262,148.6247499997262,2470.0,0.0006663087926396316,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/constructor-be/anket/5010376,1,0,167.92045801412314,167.92045801412314,167.92045801412314,167.92045801412314,2392.0,0.0006663087926396316,0.0,170,170,170,170,170,170,170,170,170,170,170
PATCH,/constructor-be/anket/5010385,1,0,141.1119999975199,141.1119999975199,141.1119999975199,141.1119999975199,2367.0,0.0006663087926396316,0.0,140,140,140,140,140,140,140,140,140,140,140
